timestamp,demand,temperature,humidity,rain,cloud,windspeed,is_holiday,is_weekend
2016-08-24,176.1,26.4125,73.08333333333333,0.3,74.125,13.233333333333334,1,0
2016-08-25,167.0,26.2375,76.25,2.2,91.5,11.9,0,0
2016-08-26,167.6,26.6625,73.33333333333333,0.2,99.08333333333331,9.529166666666669,0,0
2016-08-27,165.9,26.3,75.70833333333333,1.3,94.625,11.633333333333333,0,1
2016-08-28,154.8,25.516666666666666,79.875,3.6,79.66666666666667,9.933333333333334,0,1
2016-08-29,159.1,25.525,83.79166666666667,7.8,90.20833333333331,9.4125,0,0
2016-08-30,156.3,24.67083333333333,88.125,11.8,99.79166666666669,11.791666666666666,0,0
2016-08-31,141.2,23.5125,92.04166666666669,29.5,99.70833333333331,10.120833333333334,0,0
2016-09-01,144.3,24.825,82.58333333333333,3.4,98.0,12.279166666666669,0,0
2016-09-02,144.0,25.308333333333334,79.04166666666667,2.4000000000000004,99.125,13.733333333333334,1,0
2016-09-03,150.7,24.758333333333336,78.75,1.9,98.45833333333331,12.970833333333331,0,1
2016-09-04,151.7,25.195833333333336,72.91666666666667,0.0,95.25,14.075,0,1
2016-09-05,154.2,24.85833333333333,67.83333333333333,0.0,73.45833333333333,14.1375,0,0
2016-09-06,163.8,24.58333333333333,68.54166666666667,0.0,40.625,13.370833333333332,0,0
2016-09-07,169.9,24.54583333333333,70.375,0.0,15.25,13.454166666666666,0,0
2016-09-08,173.3,24.89583333333333,73.70833333333333,0.2,42.0,12.345833333333331,0,0
2016-09-09,173.8,25.275,74.375,0.8,87.20833333333333,14.3,0,0
2016-09-10,161.2,23.508333333333336,90.375,24.9,100.0,13.520833333333334,1,1
2016-09-11,141.5,23.104166666666668,89.79166666666667,22.1,98.70833333333331,14.404166666666669,1,1
2016-09-12,146.6,23.391666666666666,87.79166666666667,11.4,99.83333333333331,16.366666666666667,0,0
2016-09-13,137.2,22.27916666666667,90.16666666666669,33.4,99.91666666666669,16.1375,0,0
2016-09-14,129.7,23.016666666666666,95.25,15.5,100.0,10.645833333333334,0,0
2016-09-15,126.3,23.204166666666666,94.66666666666669,17.1,94.83333333333331,9.770833333333334,0,0
2016-09-16,130.0,24.008333333333336,89.16666666666667,6.6000000000000005,89.75,8.170833333333333,0,0
2016-09-17,130.8,23.65416666666667,85.25,1.2,98.58333333333331,15.670833333333334,0,1
2016-09-18,134.8,24.508333333333336,78.41666666666667,0.9,86.5,16.666666666666668,0,1
2016-09-19,144.4,24.77083333333333,78.08333333333333,0.5,97.08333333333331,17.158333333333335,0,0
2016-09-20,148.2,24.058333333333334,84.41666666666667,5.4,95.29166666666669,16.270833333333332,0,0
2016-09-21,131.1,23.0125,93.91666666666669,16.5,99.875,13.254166666666668,0,0
2016-09-22,123.4,23.054166666666664,94.79166666666669,17.9,100.0,15.1375,0,0
2016-09-23,113.7,22.5125,97.91666666666669,46.1,100.0,15.404166666666669,0,0
2016-09-24,111.4,22.495833333333334,97.75,12.7,100.0,14.625,0,1
